timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets;visualization
2024-02-25-14:47:03;50;10;50;0;ORIGINAL;CaD;0.5217222754993274;0.8899562791257258;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21, 14, 22, 13, 33, 48, 34, 47, 49, 45, 46, 40, 27, 25, 35, 26, 30, 36, 42, 24, 4, 37, 12, 0, 5, 23, 41, 44, 38, 1, 39, 31, 11, 29, 17, 16, 19, 20, 28, 43, 18];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685, 0.00079491804, 0.00042138598, 0.0001648651, 0.000117713644, 0.00011757794, 0.000113199894, 0.00010839424, 0.000106535845, 9.772504e-05, 9.764101e-05, 9.532523e-05, 9.447685e-05, 8.885551e-05, 8.614907e-05, 8.171324e-05, 7.604891e-05, 7.2157774e-05, 7.061576e-05, 6.860161e-05, 6.6461034e-05, 6.4906366e-05, 6.262148e-05, 6.1005645e-05, 6.006591e-05, 5.9487007e-05, 5.9453145e-05, 5.533526e-05, 5.5289835e-05, 5.469173e-05, 5.4596203e-05, 5.447689e-05, 5.0361657e-05, 4.8988706e-05, 4.606234e-05, 4.3981003e-05, 3.9453018e-05, 3.7938556e-05, 3.6188172e-05, 3.1433905e-05, 3.0346473e-05];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL.png
2024-02-25-14:47:37;50;10;50;0;ORIGINAL_COMPACT;CaD;0.5217222754993274;0.8899562791257258;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21, 14, 22, 13, 33, 48, 34, 47, 49, 45, 46, 40, 27, 25, 35, 26, 30, 36, 42, 24, 4, 37, 12, 0, 5, 23, 41, 44, 38, 1, 39, 31, 11, 29, 17, 16, 19, 20, 28, 43, 18];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685, 0.00079491804, 0.00042138598, 0.0001648651, 0.000117713644, 0.00011757794, 0.000113199894, 0.00010839424, 0.000106535845, 9.772504e-05, 9.764101e-05, 9.532523e-05, 9.447685e-05, 8.885551e-05, 8.614907e-05, 8.171324e-05, 7.604891e-05, 7.2157774e-05, 7.061576e-05, 6.860161e-05, 6.6461034e-05, 6.4906366e-05, 6.262148e-05, 6.1005645e-05, 6.006591e-05, 5.9487007e-05, 5.9453145e-05, 5.533526e-05, 5.5289835e-05, 5.469173e-05, 5.4596203e-05, 5.447689e-05, 5.0361657e-05, 4.8988706e-05, 4.606234e-05, 4.3981003e-05, 3.9453018e-05, 3.7938556e-05, 3.6188172e-05, 3.1433905e-05, 3.0346473e-05];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:48:08;50;10;50;0;REIMPLEMENTED;CaD;0.5217222754993274;0.8899562791257258;0;0;2;0.24701646;0;[2, 8, 10, 7, 15, 32, 9, 6, 3, 21, 14, 22, 13, 33, 48, 34, 47, 49, 45, 46, 40, 27, 25, 35, 26, 30, 36, 42, 24, 4, 37, 12, 0, 5, 23, 41, 44, 38, 1, 39, 31, 11, 29, 17, 16, 19, 20, 28, 43, 18];[0.24701646, 0.15813863, 0.14745864, 0.14592372, 0.12408531, 0.09558867, 0.04973921, 0.018956915, 0.008010975, 0.0011344685, 0.00079491804, 0.00042138598, 0.0001648651, 0.000117713644, 0.00011757794, 0.000113199894, 0.00010839424, 0.000106535845, 9.772504e-05, 9.764101e-05, 9.532523e-05, 9.447685e-05, 8.885551e-05, 8.614907e-05, 8.171324e-05, 7.604891e-05, 7.2157774e-05, 7.061576e-05, 6.860161e-05, 6.6461034e-05, 6.4906366e-05, 6.262148e-05, 6.1005645e-05, 6.006591e-05, 5.9487007e-05, 5.9453145e-05, 5.533526e-05, 5.5289835e-05, 5.469173e-05, 5.4596203e-05, 5.447689e-05, 5.0361657e-05, 4.8988706e-05, 4.606234e-05, 4.3981003e-05, 3.9453018e-05, 3.7938556e-05, 3.6188172e-05, 3.1433905e-05, 3.0346473e-05];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0];files/images/Dataset.CaD_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:48:40;50;10;50;1;ORIGINAL;CaD;0.8131523919389989;0.8846589823980212;0;0;41;0.21041736;1;[41, 3, 1, 45, 16, 4, 19, 2, 6, 14, 49, 34, 24, 30, 31, 42, 9, 7, 25, 21, 17, 8, 26, 35, 37, 40, 27, 47, 44, 33, 10, 32, 23, 46, 0, 20, 29, 28, 48, 39, 11, 36, 15, 43, 38, 18, 22, 12, 13, 5];[0.21041736, 0.19348061, 0.13821396, 0.12728247, 0.09423435, 0.0829636, 0.07090342, 0.049406976, 0.01561121, 0.005998816, 0.0059893983, 0.000896723, 0.00041673047, 0.00038928344, 0.00032265822, 0.00022380393, 0.00022051748, 0.00020218285, 0.00018753202, 0.00018093213, 0.00015515357, 0.00014617688, 0.00011493125, 0.00011319906, 0.000113165814, 0.000110304434, 0.00010803189, 0.000102767495, 0.00010083584, 9.623337e-05, 9.590469e-05, 9.588092e-05, 9.0658184e-05, 8.2650455e-05, 7.917776e-05, 7.7238234e-05, 7.711698e-05, 7.588896e-05, 7.373875e-05, 7.265347e-05, 6.554427e-05, 6.270193e-05, 5.8264992e-05, 5.363386e-05, 5.0497292e-05, 4.9304104e-05, 4.0540708e-05, 3.77685e-05, 3.1041134e-05, 2.6402317e-05];[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL.png
2024-02-25-14:49:12;50;10;50;1;ORIGINAL_COMPACT;CaD;0.8131523919389989;0.8846589823980212;0;0;41;0.21041736;1;[41, 3, 1, 45, 16, 4, 19, 2, 6, 14, 49, 34, 24, 30, 31, 42, 9, 7, 25, 21, 17, 8, 26, 35, 37, 40, 27, 47, 44, 33, 10, 32, 23, 46, 0, 20, 29, 28, 48, 39, 11, 36, 15, 43, 38, 18, 22, 12, 13, 5];[0.21041736, 0.19348061, 0.13821396, 0.12728247, 0.09423435, 0.0829636, 0.07090342, 0.049406976, 0.01561121, 0.005998816, 0.0059893983, 0.000896723, 0.00041673047, 0.00038928344, 0.00032265822, 0.00022380393, 0.00022051748, 0.00020218285, 0.00018753202, 0.00018093213, 0.00015515357, 0.00014617688, 0.00011493125, 0.00011319906, 0.000113165814, 0.000110304434, 0.00010803189, 0.000102767495, 0.00010083584, 9.623337e-05, 9.590469e-05, 9.588092e-05, 9.0658184e-05, 8.2650455e-05, 7.917776e-05, 7.7238234e-05, 7.711698e-05, 7.588896e-05, 7.373875e-05, 7.265347e-05, 6.554427e-05, 6.270193e-05, 5.8264992e-05, 5.363386e-05, 5.0497292e-05, 4.9304104e-05, 4.0540708e-05, 3.77685e-05, 3.1041134e-05, 2.6402317e-05];[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:49:42;50;10;50;1;REIMPLEMENTED;CaD;0.8131523919389989;0.8846589823980212;0;0;41;0.21041736;1;[41, 3, 1, 45, 16, 4, 19, 2, 6, 14, 49, 34, 24, 30, 31, 42, 9, 7, 25, 21, 17, 8, 26, 35, 37, 40, 27, 47, 44, 33, 10, 32, 23, 46, 0, 20, 29, 28, 48, 39, 11, 36, 15, 43, 38, 18, 22, 12, 13, 5];[0.21041736, 0.19348061, 0.13821396, 0.12728247, 0.09423435, 0.0829636, 0.07090342, 0.049406976, 0.01561121, 0.005998816, 0.0059893983, 0.000896723, 0.00041673047, 0.00038928344, 0.00032265822, 0.00022380393, 0.00022051748, 0.00020218285, 0.00018753202, 0.00018093213, 0.00015515357, 0.00014617688, 0.00011493125, 0.00011319906, 0.000113165814, 0.000110304434, 0.00010803189, 0.000102767495, 0.00010083584, 9.623337e-05, 9.590469e-05, 9.588092e-05, 9.0658184e-05, 8.2650455e-05, 7.917776e-05, 7.7238234e-05, 7.711698e-05, 7.588896e-05, 7.373875e-05, 7.265347e-05, 6.554427e-05, 6.270193e-05, 5.8264992e-05, 5.363386e-05, 5.0497292e-05, 4.9304104e-05, 4.0540708e-05, 3.77685e-05, 3.1041134e-05, 2.6402317e-05];[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:50:56;100;10;5;0;ORIGINAL;CaD;-0.3441554040748963;0.9425166903116942;0;0;17;0.26145214;0;[17, 29, 10, 23, 33];[0.26145214, 0.21220382, 0.19807008, 0.18822552, 0.13868466];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL.png
2024-02-25-14:52:00;100;10;5;0;ORIGINAL_COMPACT;CaD;-0.3441554040748963;0.9425166903116942;0;0;17;0.26145214;0;[17, 29, 10, 23, 33];[0.26145214, 0.21220382, 0.19807008, 0.18822552, 0.13868466];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.ORIGINAL_COMPACT.png
2024-02-25-14:53:03;100;10;5;0;REIMPLEMENTED;CaD;0.12943982437903523;0.9344537580099402;0;0;17;0.21251367;0;[17, 29, 10, 23, 33];[0.21251367, 0.19412877, 0.15983337, 0.14152636, 0.10452242];[0, 0, 0, 0, 0];files/images/Dataset.CaD_0_0_Model_Type.REIMPLEMENTED.png
2024-02-25-14:54:06;100;10;5;1;ORIGINAL;CaD;0.7744290242701296;0.9782636955503683;0;0;18;0.26182914;0;[18, 7, 38, 46, 28];[0.26182914, 0.25256896, 0.24464874, 0.1407783, 0.09904287];[0, 0, 0, 0, 0];files/images/Dataset.CaD_1_0_Model_Type.ORIGINAL.png
