timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
2024-02-23-22:50:45;50;50;5;0;ORIGINAL_COMPACT;MNIST;0.8828316029864111;0.907642412047991;0;7;15;0.42505506;7;[15, 28, 42, 38, 33];[0.42505506, 0.32744625, 0.14573999, 0.09872875, 0.0006170919];[7, 2, 7, 7, 9]
2024-02-23-22:50:49;50;50;5;0;REIMPLEMENTED;MNIST;0.8829051368176504;0.9054746224244596;0;7;15;0.42542326;7;[15, 28, 42, 38, 33];[0.42542326, 0.32767317, 0.14339986, 0.098426394, 0.0007423451];[7, 2, 7, 7, 9]
2024-02-23-22:50:53;50;50;5;0;R_NO_SOFTMAX;MNIST;-3.4318243776709134;-1.5670202175960393;0;7;15;0.057993602;7;[15, 27, 42, 23, 36];[0.057993602, 0.05531018, 0.04920255, 0.034743425, 0.034424562];[7, 3, 7, 1, 6]
2024-02-23-22:50:57;50;50;5;0;R_NORMALIZE;MNIST;-0.7259808245543163;-0.05552758328025218;0;7;49;0.0;3;[49, 48, 47, 46, 45];[0.0, 0.0, 0.0, 0.0, 0.0];[3, 9, 5, 8, 9]
2024-02-23-22:51:00;50;50;5;0;R_INIT_WEIGHTS_RANDOM;MNIST;0.8828371284619885;0.9050318147115591;0;7;15;0.42485005;7;[15, 28, 42, 38, 33];[0.42485005, 0.32788596, 0.14495263, 0.09705624, 0.0006364784];[7, 2, 7, 7, 9]
2024-02-23-22:51:03;50;50;5;0;R_NO_SOFTMAX_IWR;MNIST;-17.235415405768123;-7.449843576568908;0;7;37;0.050931506;0;[37, 27, 14, 42, 36];[0.050931506, 0.049633976, 0.04304987, 0.03502382, 0.034518357];[0, 3, 1, 7, 6]
2024-02-23-22:51:08;50;50;5;0;R_NORMALIZE_IWR;MNIST;0.8838094646995158;0.9067472354974224;0;7;15;0.4242587;7;[15, 28, 42, 38, 2];[0.4242587, 0.32727855, 0.14771359, 0.09989857, 4.9600967e-05];[7, 2, 7, 7, 4]
2024-02-23-22:51:13;50;50;5;0;O_C_NO_SOFTMAX;MNIST;-2.5496477787715914;0.9551076254391975;0;7;36;0.2669425;6;[36, 20, 47, 27, 42];[0.2669425, 0.2343557, 0.15895516, 0.15070246, 0.05816953];[6, 4, 5, 3, 7]
2024-02-23-22:51:19;50;50;5;0;O_C_NO_REGULIZATION;MNIST;0.8834766301623433;0.9080420785140214;0;7;15;0.42542326;7;[15, 28, 42, 38, 33];[0.42542326, 0.32767317, 0.14339986, 0.098426394, 0.0007423451];[7, 2, 7, 7, 9]
2024-02-23-22:51:25;50;50;5;0;ORIGINAL;MNIST;0.8828316029864111;0.907642412047991;1;2;25;0.5363686;2;[25, 36, 32, 24, 37];[0.5363686, 0.23278168, 0.118038855, 0.10307842, 0.006033695];[2, 6, 6, 1, 0]
2024-02-23-22:51:31;50;50;5;0;ORIGINAL_COMPACT;MNIST;0.8828316029864111;0.907642412047991;1;2;25;0.5363686;2;[25, 36, 32, 24, 37];[0.5363686, 0.23278168, 0.118038855, 0.10307842, 0.006033695];[2, 6, 6, 1, 0]
2024-02-23-22:51:34;50;50;5;0;REIMPLEMENTED;MNIST;0.8829051368176504;0.9054746224244596;1;2;25;0.5358197;2;[25, 36, 32, 24, 37];[0.5358197, 0.23335789, 0.11432589, 0.09956944, 0.006380325];[2, 6, 6, 1, 0]
2024-02-23-22:51:38;50;50;5;0;R_NO_SOFTMAX;MNIST;-3.4318243776709134;-1.5670202175960393;1;2;33;0.052982207;9;[33, 17, 14, 25, 2];[0.052982207, 0.040146995, 0.035741977, 0.03550946, 0.034269493];[9, 8, 1, 2, 4]
2024-02-23-22:51:42;50;50;5;0;R_NORMALIZE;MNIST;-0.7259808245543163;-0.05552758328025218;1;2;49;0.0;3;[49, 48, 47, 46, 45];[0.0, 0.0, 0.0, 0.0, 0.0];[3, 9, 5, 8, 9]
2024-02-23-22:51:45;50;50;5;0;R_INIT_WEIGHTS_RANDOM;MNIST;0.8828371284619885;0.9050318147115591;1;2;25;0.5354655;2;[25, 36, 32, 24, 37];[0.5354655, 0.23379317, 0.11378717, 0.102785595, 0.009628924];[2, 6, 6, 1, 0]
2024-02-23-22:51:48;50;50;5;0;R_NO_SOFTMAX_IWR;MNIST;-17.235415405768123;-7.449843576568908;1;2;19;0.06455597;9;[19, 1, 3, 38, 49];[0.06455597, 0.051132206, 0.04429236, 0.03862721, 0.029933231];[9, 0, 1, 7, 3]
2024-02-23-22:51:52;50;50;5;0;R_NORMALIZE_IWR;MNIST;0.8838094646995158;0.9067472354974224;1;2;25;0.53517014;2;[25, 36, 32, 24, 37];[0.53517014, 0.23538399, 0.111980096, 0.104599245, 0.012302142];[2, 6, 6, 1, 0]
2024-02-23-22:51:58;50;50;5;0;O_C_NO_SOFTMAX;MNIST;-2.5496477787715914;0.9551076254391975;1;2;3;0.24856779;1;[3, 38, 49, 20, 32];[0.24856779, 0.23983653, 0.18642478, 0.113953315, 0.103408985];[1, 7, 3, 4, 6]
2024-02-23-22:52:04;50;50;5;0;O_C_NO_REGULIZATION;MNIST;0.8834766301623433;0.9080420785140214;1;2;25;0.5358197;2;[25, 36, 32, 24, 37];[0.5358197, 0.23335789, 0.11432589, 0.09956944, 0.006380325];[2, 6, 6, 1, 0]
