experiment_id;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;sample_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
0;50;10;5;0;ORIGINAL;MNIST;0.8772561818861313;0.9263285902953718;0;7;15;0.42505506;7;[15, 28, 42, 38, 33];[0.42505506, 0.32744625, 0.14573999, 0.09872875, 0.0006170919];[7, 2, 7, 7, 9]
0;50;10;5;0;ORIGINAL_COMPACT;MNIST;0.8772561818861313;0.9263285902953718;0;7;15;0.42505506;7;[15, 28, 42, 38, 33];[0.42505506, 0.32744625, 0.14573999, 0.09872875, 0.0006170919];[7, 2, 7, 7, 9]
0;50;10;5;0;REIMPLEMENTED;MNIST;0.8490262204812847;0.8912054697428895;0;7;15;0.37476802;7;[15, 28, 42, 38, 48];[0.37476802, 0.28865707, 0.1263252, 0.086706735, 0.0027308683];[7, 2, 7, 7, 9]
0;50;10;5;0;R_NO_SOFTMAX;MNIST;-4.262714636018051;-1.1637929619725083;0;7;15;0.035133447;7;[15, 27, 42, 23, 36];[0.035133447, 0.03412821, 0.03194617, 0.027320407, 0.02722633];[7, 3, 7, 1, 6]
0;50;10;5;0;R_NORMALIZE;MNIST;-0.7728213716913283;-0.05957204839503214;0;7;49;0.02;3;[49, 48, 47, 46, 45];[0.02, 0.02, 0.02, 0.02, 0.02];[3, 9, 5, 8, 9]
0;50;10;5;0;R_INIT_WEIGHTS_RANDOM;MNIST;0.8640277611300496;0.9072445277211532;0;7;15;0.3833112;7;[15, 28, 42, 38, 48];[0.3833112, 0.2958276, 0.13078019, 0.08756676, 0.0022653332];[7, 2, 7, 7, 9]
0;50;10;5;0;R_NO_SOFTMAX_IWR;MNIST;-0.033424213376980205;0.22292850398116776;0;7;29;0.7272563;7;[29, 38, 9, 49, 44];[0.7272563, 0.017803434, 0.005312742, 0.005312352, 0.0053123264];[7, 7, 4, 3, 3]
0;50;10;5;0;R_NORMALIZE_IWR;MNIST;-23.647761517747007;-9.392665028720506;0;7;37;0.057625555;0;[37, 27, 14, 42, 36];[0.057625555, 0.05585307, 0.04766482, 0.039288975, 0.03881371];[0, 3, 1, 7, 6]
0;50;10;5;0;O_C_NO_SOFTMAX;MNIST;-2.9698821255567474;0.9501892910096352;0;7;36;0.2669425;6;[36, 20, 47, 27, 42];[0.2669425, 0.2343557, 0.15895516, 0.15070246, 0.05816953];[6, 4, 5, 3, 7]
0;50;10;5;0;O_C_NO_REGULIZATION;MNIST;0.8807099027398158;0.9288492951372452;0;7;15;0.42542326;7;[15, 28, 42, 38, 33];[0.42542326, 0.32767317, 0.14339986, 0.098426394, 0.0007423451];[7, 2, 7, 7, 9]
1;50;10;5;0;ORIGINAL;MNIST;0.8772561818861313;0.9263285902953718;1;2;25;0.5363686;2;[25, 36, 32, 24, 37];[0.5363686, 0.23278168, 0.118038915, 0.10307842, 0.006033698];[2, 6, 6, 1, 0]
1;50;10;5;0;ORIGINAL_COMPACT;MNIST;0.8772561818861313;0.9263285902953718;1;2;25;0.5363686;2;[25, 36, 32, 24, 37];[0.5363686, 0.23278168, 0.118038915, 0.10307842, 0.006033698];[2, 6, 6, 1, 0]
1;50;10;5;0;REIMPLEMENTED;MNIST;0.8490262204812847;0.8912054697428895;1;2;25;0.4643999;2;[25, 36, 32, 24, 37];[0.4643999, 0.20225336, 0.09908733, 0.08629774, 0.0055298684];[2, 6, 6, 1, 0]
1;50;10;5;0;R_NO_SOFTMAX;MNIST;-4.262714636018051;-1.1637929619725083;1;2;33;0.04347618;9;[33, 17, 14, 25, 2];[0.04347618, 0.035255313, 0.032807533, 0.03268776, 0.03203381];[9, 8, 1, 2, 4]
